industrial_aggregate_including_unclassified_businesses,industrial_aggregate_excluding_unclassified_businesses,goods_producing_industries,forestry_logging_and_support,mining_quarrying_and_oil_and_gas_extraction,utilities,construction,manufacturing,service_producing_industries,trade,transportation_and_warehousing,information_and_cultural_industries,finance_and_insurance,real_estate_and_rental_and_leasing,professional_scientific_and_technical_services,management_of_companies_and_enterprises,administrative_and_support_waste_management_and_remediation_,educational_services,health_care_and_social_assistance,arts_entertainment_and_recreation,accommodation_and_food_services,other_services_except_public_administration,public_administration,unclassified_businesses,date,month,geography,type_of_employee
0.0,6172688.0,771996.0,6101.0,111448.0,0.0,188782.0,409149.0,5400691.0,659266.0,265522.0,209652.0,596187.0,113351.0,657745.0,0.0,212700.0,1236763.0,261077.0,69079.0,93938.0,157240.0,805574.0,0.0,2022-12-22,January 2022,Canada,Salaried employees paid a fixed salary
0.0,6317604.0,801693.0,6256.0,106810.0,0.0,184234.0,431048.0,5515910.0,687865.0,261379.0,216667.0,593975.0,111150.0,703527.0,0.0,198963.0,1282334.0,261061.0,69022.0,85007.0,170856.0,813069.0,0.0,2022-12-22,February 2022,Canada,Salaried employees paid a fixed salary
0.0,6328072.0,798560.0,0.0,100622.0,69875.0,175456.0,447276.0,5529512.0,681738.0,257641.0,187466.0,620698.0,121061.0,718559.0,0.0,207768.0,1310470.0,240752.0,70282.0,87241.0,164593.0,811767.0,0.0,2022-12-22,March 2022,Canada,Salaried employees paid a fixed salary
0.0,6310063.0,801936.0,4832.0,106509.0,62633.0,180683.0,447278.0,5508127.0,651925.0,262869.0,196082.0,646048.0,114054.0,719856.0,0.0,207678.0,1311815.0,234016.0,74434.0,83160.0,166285.0,790358.0,0.0,2022-12-22,April 2022,Canada,Salaried employees paid a fixed salary
0.0,6209722.0,764178.0,3813.0,98099.0,75268.0,172453.0,414545.0,5445544.0,649844.0,269448.0,207072.0,583319.0,125397.0,712940.0,0.0,199087.0,1246087.0,267412.0,75928.0,78083.0,151475.0,814425.0,0.0,2022-12-22,May 2022,Canada,Salaried employees paid a fixed salary
0.0,6175067.0,774333.0,3077.0,114466.0,75956.0,187400.0,393434.0,5400734.0,616793.0,251853.0,184193.0,597083.0,123091.0,715923.0,0.0,222199.0,1220590.0,284067.0,78709.0,85204.0,156913.0,812220.0,0.0,2022-12-22,June 2022,Canada,Salaried employees paid a fixed salary
0.0,6028318.0,795760.0,2116.0,104785.0,71014.0,207855.0,409989.0,5232558.0,635475.0,249962.0,218767.0,617536.0,119847.0,731553.0,0.0,212358.0,984601.0,283756.0,81385.0,84791.0,136851.0,810714.0,0.0,2022-12-22,July 2022,Canada,Salaried employees paid a fixed salary
0.0,5839084.0,734721.0,1290.0,114101.0,61339.0,177835.0,380157.0,5104363.0,631299.0,263346.0,200486.0,611251.0,134898.0,716339.0,0.0,203658.0,875200.0,258625.0,86401.0,86740.0,141957.0,830676.0,0.0,2022-12-22,August 2022,Canada,Salaried employees paid a fixed salary
0.0,6289257.0,709829.0,4232.0,103753.0,48418.0,184472.0,368955.0,5579428.0,649223.0,266596.0,231364.0,649217.0,133823.0,719071.0,0.0,200744.0,1195104.0,270152.0,88519.0,87532.0,139118.0,871832.0,0.0,2022-12-22,September 2022,Canada,Salaried employees paid a fixed salary
0.0,6371149.0,721108.0,3162.0,101147.0,48018.0,202316.0,366465.0,5650040.0,674211.0,253939.0,211822.0,639799.0,138766.0,729413.0,0.0,189571.0,1283532.0,279581.0,87577.0,89109.0,130523.0,869048.0,0.0,2022-12-22,October 2022,Canada,Salaried employees paid a fixed salary
0.0,6172688.0,771996.0,6101.0,111448.0,0.0,188782.0,409149.0,5400691.0,659266.0,265522.0,209652.0,596187.0,113351.0,657745.0,0.0,212700.0,1236763.0,261077.0,69079.0,93938.0,157240.0,805574.0,0.0,2022-12-22,January 2022,Canada,Salaried employees paid a fixed salary
0.0,6317604.0,801693.0,6256.0,106810.0,0.0,184234.0,431048.0,5515910.0,687865.0,261379.0,216667.0,593975.0,111150.0,703527.0,0.0,198963.0,1282334.0,261061.0,69022.0,85007.0,170856.0,813069.0,0.0,2022-12-22,February 2022,Canada,Salaried employees paid a fixed salary
0.0,6328072.0,798560.0,0.0,100622.0,69875.0,175456.0,447276.0,5529512.0,681738.0,257641.0,187466.0,620698.0,121061.0,718559.0,0.0,207768.0,1310470.0,240752.0,70282.0,87241.0,164593.0,811767.0,0.0,2022-12-22,March 2022,Canada,Salaried employees paid a fixed salary
0.0,6310063.0,801936.0,4832.0,106509.0,62633.0,180683.0,447278.0,5508127.0,651925.0,262869.0,196082.0,646048.0,114054.0,719856.0,0.0,207678.0,1311815.0,234016.0,74434.0,83160.0,166285.0,790358.0,0.0,2022-12-22,April 2022,Canada,Salaried employees paid a fixed salary
0.0,6209722.0,764178.0,3813.0,98099.0,75268.0,172453.0,414545.0,5445544.0,649844.0,269448.0,207072.0,583319.0,125397.0,712940.0,0.0,199087.0,1246087.0,267412.0,75928.0,78083.0,151475.0,814425.0,0.0,2022-12-22,May 2022,Canada,Salaried employees paid a fixed salary
0.0,6175067.0,774333.0,3077.0,114466.0,75956.0,187400.0,393434.0,5400734.0,616793.0,251853.0,184193.0,597083.0,123091.0,715923.0,0.0,222199.0,1220590.0,284067.0,78709.0,85204.0,156913.0,812220.0,0.0,2022-12-22,June 2022,Canada,Salaried employees paid a fixed salary
0.0,6028318.0,795760.0,2116.0,104785.0,71014.0,207855.0,409989.0,5232558.0,635475.0,249962.0,218767.0,617536.0,119847.0,731553.0,0.0,212358.0,984601.0,283756.0,81385.0,84791.0,136851.0,810714.0,0.0,2022-12-22,July 2022,Canada,Salaried employees paid a fixed salary
0.0,5839084.0,734721.0,1290.0,114101.0,61339.0,177835.0,380157.0,5104363.0,631299.0,263346.0,200486.0,611251.0,134898.0,716339.0,0.0,203658.0,875200.0,258625.0,86401.0,86740.0,141957.0,830676.0,0.0,2022-12-22,August 2022,Canada,Salaried employees paid a fixed salary
0.0,6289257.0,709829.0,4232.0,103753.0,48418.0,184472.0,368955.0,5579428.0,649223.0,266596.0,231364.0,649217.0,133823.0,719071.0,0.0,200744.0,1195104.0,270152.0,88519.0,87532.0,139118.0,871832.0,0.0,2022-12-22,September 2022,Canada,Salaried employees paid a fixed salary
0.0,6371149.0,721108.0,3162.0,101147.0,48018.0,202316.0,366465.0,5650040.0,674211.0,253939.0,211822.0,639799.0,138766.0,729413.0,0.0,189571.0,1283532.0,279581.0,87577.0,89109.0,130523.0,869048.0,0.0,2022-12-22,October 2022,Canada,Salaried employees paid a fixed salary
0.0,9304456.0,1934330.0,21005.0,79198.0,0.0,731180.0,1032588.0,7370126.0,1966935.0,432942.0,136044.0,156730.0,111685.0,330337.0,0.0,535198.0,54515.0,1866505.0,154607.0,924840.0,306009.0,346057.0,0.0,2022-12-22,January 2022,Canada,Employees paid by the hour
0.0,9349982.0,1967904.0,22854.0,87335.0,0.0,770268.0,1032851.0,7382078.0,1896334.0,441345.0,143521.0,157495.0,109654.0,300490.0,0.0,556607.0,59235.0,1900265.0,159585.0,962240.0,291702.0,351802.0,0.0,2022-12-22,February 2022,Canada,Employees paid by the hour
0.0,9530931.0,1991806.0,0.0,91513.0,55433.0,796978.0,1021859.0,7539125.0,1929079.0,430751.0,166616.0,133992.0,103341.0,320565.0,0.0,550073.0,56848.0,1926329.0,172621.0,1018261.0,300404.0,365737.0,0.0,2022-12-22,March 2022,Canada,Employees paid by the hour
0.0,9736182.0,2032242.0,23299.0,86167.0,63280.0,823016.0,1036480.0,7703940.0,1958675.0,450993.0,166972.0,125135.0,114697.0,310455.0,0.0,569621.0,60949.0,1935436.0,182582.0,1075396.0,307392.0,385520.0,0.0,2022-12-22,April 2022,Canada,Employees paid by the hour
